,Country,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,Deaths_/_100_Cases,Recovered_/_100_Cases,Deaths_/_100_Recovered,Confirmed_last_week,1_week_change,1_week_%_increase,Total_cases,Death_Rate
56,Estonia,69.0,1923,42,0.0,0.0,1,3.39,94.54,3.59,2021,13,0.64,2034.0,3.392330383480826
57,Eswatini,34.0,1025,1257,109.0,2.0,39,1.47,44.26,3.32,1826,490,26.83,2316.0,1.468048359240069
58,Ethiopia,228.0,6386,7933,579.0,5.0,170,1.57,43.9,3.57,10207,4340,42.52,14547.0,1.5673334708187256
59,Fiji,0.0,18,9,0.0,0.0,0,0.0,66.67,0.0,27,0,0.0,27.0,0.0
60,Finland,329.0,6920,149,5.0,0.0,0,4.45,93.54,4.75,7340,58,0.79,7398.0,4.447147877804812
61,France,30212.0,81212,108928,2551.0,17.0,267,13.71,36.86,37.2,214023,6329,2.96,220352.0,13.71079000871333
62,Gabon,49.0,4682,2458,205.0,0.0,219,0.68,65.13,1.05,6433,756,11.75,7189.0,0.6815968841285297
63,Gambia,8.0,66,252,49.0,2.0,6,2.45,20.25,12.12,112,214,191.07,326.0,2.4539877300613497
64,Georgia,16.0,922,199,6.0,0.0,2,1.41,81.09,1.74,1039,98,9.43,1137.0,1.4072119613016711
65,Germany,9125.0,190314,7673,445.0,1.0,259,4.41,91.89,4.79,203325,3787,1.86,207112.0,4.405828730348796
66,Ghana,168.0,29801,3655,655.0,0.0,307,0.5,88.63,0.56,28430,5194,18.27,33624.0,0.4996431120628123
67,Greece,202.0,1374,2651,34.0,0.0,0,4.78,32.51,14.7,4012,215,5.36,4227.0,4.778802933522592
68,Greenland,0.0,13,1,1.0,0.0,0,0.0,92.86,0.0,13,1,7.69,14.0,0.0
69,Grenada,0.0,23,0,0.0,0.0,0,0.0,100.0,0.0,23,0,0.0,23.0,0.0
70,Guatemala,1761.0,32455,11093,256.0,27.0,843,3.89,71.63,5.43,39039,6270,16.06,45309.0,3.886645037409786
71,Guinea,45.0,6257,753,47.0,2.0,105,0.64,88.69,0.72,6590,465,7.06,7055.0,0.6378454996456413
72,Guinea-Bissau,26.0,803,1125,0.0,0.0,0,1.33,41.1,3.24,1949,5,0.26,1954.0,1.3306038894575232
73,Guyana,20.0,181,188,1282.7401129943503,30.401129943502823,0,5.14,46.53,11.05,337,52,15.43,389.0,5.141388174807198
74,Haiti,158.0,4365,2817,25.0,1.0,0,2.15,59.47,3.62,7053,287,4.07,7340.0,2.1525885558583107
75,Holy See,0.0,12,0,0.0,0.0,0,0.0,100.0,0.0,12,0,0.0,12.0,0.0
76,Honduras,1166.0,5039,33536,465.0,50.0,117,2.93,12.68,23.14,34611,5130,14.82,39741.0,2.933997634684583
77,Hungary,596.0,3329,523,13.0,0.0,0,13.4,74.84,17.9,4339,109,2.51,4448.0,13.399280575539569
78,Iceland,10.0,1823,21,7.0,0.0,0,0.54,98.33,0.55,1839,15,0.82,1854.0,0.5393743257820928
79,India,33408.0,951166,495499,44457.0,637.0,33598,2.26,64.26,3.51,1155338,324735,28.11,1480073.0,2.2571859631247917
80,Indonesia,4838.0,58173,37292,1525.0,57.0,1518,4.82,58.0,8.32,88214,12089,13.7,100303.0,4.82338514301666
81,Iran,15912.0,255144,22550,2434.0,212.0,1931,5.42,86.9,6.24,276202,17404,6.3,293606.0,5.419507775726654
82,Iraq,4458.0,77144,30983,2553.0,96.0,1927,3.96,68.52,5.78,94693,17892,18.89,112585.0,3.9596749122884933
